Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.7260	1.0000	
1.7260	1.0000	1.1766	1.0000	
3.9027	1.0000	0.7033	1.0000	
5.6059	2.0000	1.0431	1.0000	
7.6490	1.0000	0.9130	1.0000	
9.5620	1.0000	0.9808	1.0000	
11.5428	1.0000	0.8858	1.0000	
13.4286	1.0000	1.0065	1.0000	
15.4352	1.0000	1.0958	1.0000	
17.5310	2.0000	1.3014	1.0000	
19.8324	1.0000	1.0732	1.0000	
21.9056	2.0000	2.0000	1.0000	
24.9056	1.0000	0.7524	1.0000	
26.6580	1.0000	2.0000	1.0000	
29.6580	2.0000	1.6781	1.0000	
32.3361	1.0000	0.7363	1.0000	
34.0724	1.0000	0.7020	1.0000	
35.7743	1.0000	0.7228	1.0000	
37.4971	2.0000	0.8519	1.0000	
39.3490	1.0000	0.9787	1.0000	
41.3277	1.0000	0.9658	1.0000	
43.2935	1.0000	1.4999	1.0000	
45.7934	1.0000	0.8268	1.0000	
47.6202	1.0000	0.7004	1.0000	
49.3206	1.0000	1.2246	1.0000	
51.5452	1.0000	1.5846	1.0000	
54.1298	1.0000	1.3014	1.0000	
56.4312	1.0000	1.7722	1.0000	
59.2034	1.0000	1.2164	1.0000	
61.4199	1.0000	1.6331	1.0000	
64.0530	1.0000	1.1393	1.0000	
66.1923	1.0000	0.7422	1.0000	
67.9345	1.0000	1.0530	1.0000	
69.9875	2.0000	0.9787	1.0000	
71.9663	1.0000	1.1889	1.0000	
74.1552	1.0000	0.7633	1.0000	
75.9185	1.0000	1.0855	1.0000	
78.0040	2.0000	0.8384	1.0000	
79.8424	1.0000	0.7909	1.0000	
81.6333	1.0000	0.9712	1.0000	
83.6045	2.0000	0.9130	1.0000	
85.5176	1.0000	1.7074	1.0000	
88.2250	1.0000	0.7272	1.0000	
89.9523	1.0000	1.1883	1.0000	
92.1406	1.0000	0.9425	1.0000	
94.0831	1.0000	1.0524	1.0000	
96.1355	1.0000	0.7314	1.0000	
97.8668	2.0000	0.7770	1.0000	
99.6438	1.0000	1.6781	1.0000	
102.3219	1.0000	1.4790	1.0000	
104.8009	1.0000	1.0142	1.0000	
106.8151	1.0000	0.7431	1.0000	
108.5582	1.0000	1.2184	1.0000	
110.7766	2.0000	1.5846	1.0000	
113.3612	1.0000	0.8039	1.0000	
115.1651	1.0000	1.2178	1.0000	
117.3829	1.0000	0.8295	1.0000	
119.2123	1.0000	1.5217	1.0000	
121.7340	1.0000	1.6286	1.0000	
124.3627	2.0000	1.4999	1.0000	
126.8626	1.0000	1.4928	1.0000	
129.3554	1.0000	0.8027	1.0000	
131.1580	1.0000	1.1900	1.0000	
133.3481	2.0000	0.8045	1.0000	
135.1525	1.0000	0.7451	1.0000	
136.8976	1.0000	1.4841	1.0000	
139.3818	2.0000	0.8109	1.0000	
141.1926	1.0000	1.5125	1.0000	
143.7051	1.0000	0.8924	1.0000	
145.5975	1.0000	1.7697	1.0000	
148.3672	1.0000	1.0156	1.0000	
150.3828	1.0000	0.7301	1.0000	
152.1129	1.0000	1.1660	1.0000	
154.2790	2.0000	0.9421	1.0000	
156.2210	1.0000	0.8213	1.0000	
158.0424	1.0000	0.7116	1.0000	
159.7540	1.0000	1.0146	1.0000	
161.7685	1.0000	0.8121	1.0000	
163.5807	2.0000	0.8603	1.0000	
165.4409	1.0000	0.7824	1.0000	
167.2233	1.0000	1.0003	1.0000	
169.2236	1.0000	1.2266	1.0000	
171.4502	1.0000	0.8406	1.0000	
173.2908	1.0000	1.6772	1.0000	
175.9680	1.0000	0.8767	1.0000	
177.8447	1.0000	0.7829	1.0000	
179.6276	2.0000	0.8039	1.0000	
181.4315	1.0000	1.1154	1.0000	
183.5469	1.0000	1.1391	1.0000	
185.6861	1.0000	2.0000	1.0000	
188.6861	1.0000	1.4928	1.0000	
191.1789	1.0000	1.0554	1.0000	
193.2343	1.0000	0.7068	1.0000	
194.9411	1.0000	0.7369	1.0000	
196.6780	1.0000	1.1748	1.0000	
198.8528	1.0000	1.3396	1.0000	
201.1924	1.0000	1.1756	1.0000	
203.3681	2.0000	0.7301	1.0000	
205.0982	1.0000	1.0282	1.0000	
207.1264	1.0000	1.0431	1.0000	
209.1694	1.0000	1.1456	1.0000	
211.3150	1.0000	0.9856	1.0000	
213.3006	2.0000	0.7422	1.0000	
215.0428	1.0000	0.7829	1.0000	
216.8257	1.0000	0.8185	1.0000	
218.6442	1.0000	0.7826	1.0000	
220.4269	2.0000	0.8769	1.0000	
222.3038	1.0000	1.2529	1.0000	
224.5567	1.0000	0.7363	1.0000	
226.2929	1.0000	0.7119	1.0000	
228.0049	1.0000	0.7808	1.0000	
229.7857	1.0000	0.7607	1.0000	
231.5464	1.0000	1.2508	1.0000	
233.7973	1.0000	0.8345	1.0000	
235.6317	1.0000	0.7840	1.0000	
237.4157	1.0000	0.7103	1.0000	
239.1261	1.0000	1.4037	1.0000	
241.5298	1.0000	2.0000	1.0000	
244.5298	1.0000	1.3206	1.0000	
246.8504	1.0000	1.0590	1.0000	
248.9093	1.0000	0.9085	1.0000	
250.8178	1.0000	0.7303	1.0000	
252.5480	1.0000	0.7832	1.0000	
254.3313	1.0000	1.2425	1.0000	
256.5738	1.0000	0.8035	1.0000	
258.3773	1.0000	1.1822	1.0000	
260.5595	2.0000	1.1382	1.0000	
262.6978	1.0000	1.1092	1.0000	
264.8070	1.0000	1.1156	1.0000	
266.9226	1.0000	0.7159	1.0000	
268.6385	2.0000	0.7068	1.0000	
270.3453	1.0000	1.7722	1.0000	
273.1175	1.0000	0.9569	1.0000	
275.0744	1.0000	2.0000	1.0000	
278.0744	1.0000	2.0000	1.0000	
281.0744	2.0000	1.0590	1.0000	
283.1334	1.0000	0.7207	1.0000	
284.8541	1.0000	0.7264	1.0000	
286.5805	2.0000	0.7965	1.0000	
288.3770	1.0000	0.8216	1.0000	
290.1986	1.0000	1.9461	1.0000	
293.1447	1.0000	0.8769	1.0000	
295.0216	1.0000	0.7408	1.0000	
296.7625	1.0000	0.7838	1.0000	
298.5462	1.0000	1.1115	1.0000	
300.6577	1.0000	1.0712	1.0000	
302.7289	2.0000	0.7079	1.0000	
304.4368	1.0000	0.7611	1.0000	
306.1979	1.0000	1.4234	1.0000	
308.6212	1.0000	2.0000	1.0000	
311.6212	1.0000	0.7873	1.0000	
313.4085	1.0000	2.0000	1.0000	
316.4085	1.0000	1.4502	1.0000	
318.8587	1.0000	0.7024	1.0000	
320.5611	2.0000	0.8384	1.0000	
322.3995	1.0000	0.8124	1.0000	
324.2119	1.0000	2.0000	1.0000	
327.2119	1.0000	1.2529	1.0000	
329.4648	1.0000	1.0312	1.0000	
331.4959	1.0000	0.7965	1.0000	
333.2924	1.0000	0.7379	1.0000	
335.0303	2.0000	0.9861	1.0000	
337.0164	1.0000	1.2721	1.0000	
339.2885	1.0000	1.8314	1.0000	
342.1198	1.0000	1.6953	1.0000	
344.8151	2.0000	1.2362	1.0000	
347.0514	1.0000	0.8949	1.0000	
348.9463	2.0000	0.8187	1.0000	
350.7649	1.0000	0.7808	1.0000	
352.5458	1.0000	0.9342	1.0000	
354.4799	2.0000	0.7840	1.0000	
356.2640	1.0000	1.0212	1.0000	
358.2852	1.0000	0.9276	1.0000	
360.2128	1.0000	1.1053	1.0000	
362.3181	1.0000	0.8059	1.0000	
364.1240	2.0000	0.9421	1.0000	
366.0661	1.0000	0.8012	1.0000	
367.8672	1.0000	0.8969	1.0000	
369.7642	1.0000	0.7059	1.0000	
371.4700	1.0000	0.8187	1.0000	

