Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.5372	1.0000	
2.5372	1.0000	0.9096	1.0000	
4.4468	1.0000	0.8735	1.0000	
6.3204	2.0000	1.0087	1.0000	
8.3291	1.0000	1.3260	1.0000	
10.6552	1.0000	1.6702	1.0000	
13.3253	1.0000	1.7146	1.0000	
16.0399	2.0000	1.2476	1.0000	
18.2875	1.0000	0.8686	1.0000	
20.1561	1.0000	0.7521	1.0000	
21.9082	1.0000	0.7247	1.0000	
23.6329	1.0000	1.0087	1.0000	
25.6417	2.0000	0.8249	1.0000	
27.4666	1.0000	0.8262	1.0000	
29.2928	2.0000	1.0239	1.0000	
31.3166	1.0000	0.8295	1.0000	
33.1461	1.0000	0.9707	1.0000	
35.1168	1.0000	0.7275	1.0000	
36.8443	1.0000	0.7082	1.0000	
38.5525	1.0000	0.7710	1.0000	
40.3235	1.0000	0.9249	1.0000	
42.2484	1.0000	1.9408	1.0000	
45.1892	1.0000	1.2298	1.0000	
47.4190	2.0000	0.9661	1.0000	
49.3851	1.0000	0.7390	1.0000	
51.1241	1.0000	2.0000	1.0000	
54.1241	1.0000	0.7928	1.0000	
55.9169	1.0000	1.2856	1.0000	
58.2025	1.0000	1.8700	1.0000	
61.0726	1.0000	0.8787	1.0000	
62.9512	2.0000	0.9715	1.0000	
64.9227	1.0000	0.8380	1.0000	
66.7607	1.0000	0.9855	1.0000	
68.7462	1.0000	0.9853	1.0000	
70.7315	1.0000	1.9150	1.0000	
73.6465	1.0000	0.7302	1.0000	
75.3767	1.0000	0.7751	1.0000	
77.1518	2.0000	1.1924	1.0000	
79.3442	1.0000	1.0250	1.0000	
81.3692	1.0000	1.6207	1.0000	
83.9899	1.0000	0.8616	1.0000	
85.8515	2.0000	0.9722	1.0000	
87.8237	1.0000	0.7007	1.0000	
89.5244	1.0000	0.7078	1.0000	
91.2322	1.0000	0.8620	1.0000	
93.0942	1.0000	0.7361	1.0000	
94.8303	1.0000	1.0290	1.0000	
96.8593	2.0000	0.7375	1.0000	
98.5969	1.0000	0.8801	1.0000	
100.4770	1.0000	1.0884	1.0000	
102.5654	1.0000	1.4596	1.0000	
105.0250	1.0000	0.8822	1.0000	
106.9072	1.0000	0.7607	1.0000	
108.6679	1.0000	0.9722	1.0000	
110.6401	1.0000	1.3327	1.0000	
112.9728	1.0000	1.4245	1.0000	
115.3972	1.0000	1.0894	1.0000	
117.4866	1.0000	0.7700	1.0000	
119.2566	2.0000	0.9908	1.0000	
121.2475	1.0000	0.9911	1.0000	
123.2385	1.0000	0.9470	1.0000	
125.1855	2.0000	1.0994	1.0000	
127.2849	1.0000	0.7058	1.0000	
128.9908	1.0000	0.7213	1.0000	
130.7121	2.0000	1.0990	1.0000	
132.8111	1.0000	1.4015	1.0000	
135.2126	1.0000	2.0000	1.0000	
138.2126	2.0000	0.7568	1.0000	
139.9694	1.0000	0.9752	1.0000	
141.9446	1.0000	2.0000	1.0000	
144.9446	1.0000	1.3428	1.0000	
147.2873	2.0000	0.8785	1.0000	
