Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.9976	1.0000	
1.9976	1.0000	0.7582	1.0000	
3.7558	1.0000	1.0954	1.0000	
5.8512	2.0000	0.8135	1.0000	
7.6646	1.0000	2.0000	1.0000	
10.6646	1.0000	0.9896	1.0000	
12.6543	1.0000	1.0310	1.0000	
14.6853	1.0000	1.2533	1.0000	
16.9385	1.0000	1.0073	1.0000	
18.9458	2.0000	1.2656	1.0000	
21.2114	1.0000	0.9456	1.0000	
23.1570	2.0000	1.2339	1.0000	
25.3909	1.0000	1.2656	1.0000	
27.6565	1.0000	1.2005	1.0000	
29.8571	2.0000	1.1669	1.0000	
32.0239	1.0000	0.9016	1.0000	
33.9255	1.0000	0.7718	1.0000	
35.6973	1.0000	0.7679	1.0000	
37.4652	1.0000	1.1662	1.0000	
39.6314	2.0000	1.3815	1.0000	
42.0129	1.0000	2.0000	1.0000	
45.0129	1.0000	2.0000	1.0000	
48.0129	1.0000	2.0000	1.0000	
51.0129	2.0000	1.9228	1.0000	
53.9357	1.0000	1.2339	1.0000	
56.1696	1.0000	0.7304	1.0000	
57.9001	1.0000	1.1569	1.0000	
60.0569	1.0000	0.7773	1.0000	
61.8343	2.0000	1.7261	1.0000	
64.5604	1.0000	0.7506	1.0000	
66.3110	2.0000	1.4480	1.0000	
68.7590	1.0000	1.5979	1.0000	
71.3569	1.0000	1.4596	1.0000	
73.8165	1.0000	1.6791	1.0000	
76.4955	1.0000	2.0000	1.0000	
79.4955	1.0000	1.3795	1.0000	
81.8750	1.0000	0.9457	1.0000	
83.8208	2.0000	1.4033	1.0000	
86.2240	1.0000	0.8356	1.0000	
88.0597	1.0000	0.7572	1.0000	
89.8168	1.0000	1.4069	1.0000	
92.2237	1.0000	1.4033	1.0000	
94.6270	1.0000	1.7382	1.0000	
97.3652	1.0000	0.8612	1.0000	
99.2264	1.0000	1.1052	1.0000	
101.3316	1.0000	0.7038	1.0000	
103.0354	1.0000	1.9438	1.0000	
105.9791	1.0000	0.8915	1.0000	
107.8707	1.0000	0.9689	1.0000	
109.8396	1.0000	1.2512	1.0000	
112.0908	1.0000	1.0373	1.0000	
114.1281	1.0000	0.7344	1.0000	
115.8624	2.0000	0.8302	1.0000	
117.6927	1.0000	1.4255	1.0000	
120.1182	1.0000	1.7261	1.0000	
122.8444	1.0000	0.8135	1.0000	
124.6578	2.0000	1.1411	1.0000	
126.7989	1.0000	0.8901	1.0000	
128.6890	1.0000	1.0762	1.0000	
130.7652	1.0000	0.7967	1.0000	
132.5619	1.0000	0.7742	1.0000	
134.3360	1.0000	0.9722	1.0000	
136.3082	1.0000	0.9156	1.0000	
138.2238	2.0000	0.8915	1.0000	
140.1153	1.0000	2.0000	1.0000	
143.1153	1.0000	1.0484	1.0000	
145.1637	1.0000	0.9987	1.0000	
147.1624	1.0000	0.8918	1.0000	
149.0542	2.0000	1.0373	1.0000	
151.0915	1.0000	0.7441	1.0000	
152.8356	1.0000	1.1960	1.0000	
155.0316	1.0000	0.8934	1.0000	
156.9250	1.0000	0.7191	1.0000	
158.6441	2.0000	0.7056	1.0000	
160.3497	1.0000	0.7553	1.0000	
162.1049	1.0000	0.8293	1.0000	
163.9343	1.0000	1.0040	1.0000	
165.9382	2.0000	1.0605	1.0000	
167.9987	1.0000	2.0000	1.0000	
170.9987	1.0000	0.7123	1.0000	
172.7110	1.0000	0.9936	1.0000	
174.7046	1.0000	1.1669	1.0000	
176.8715	1.0000	1.1411	1.0000	
179.0126	1.0000	1.8832	1.0000	
181.8957	1.0000	0.8003	1.0000	
183.6960	1.0000	1.7734	1.0000	
186.4695	1.0000	2.0000	1.0000	
189.4695	1.0000	1.2182	1.0000	
191.6877	1.0000	0.9431	1.0000	
193.6308	1.0000	0.7088	1.0000	
195.3396	2.0000	0.9484	1.0000	
197.2880	1.0000	1.3329	1.0000	
199.6209	1.0000	0.7949	1.0000	
201.4159	1.0000	0.9989	1.0000	
203.4147	2.0000	0.7417	1.0000	
205.1564	1.0000	0.8145	1.0000	
206.9709	1.0000	0.8653	1.0000	
208.8363	1.0000	0.7033	1.0000	
210.5395	2.0000	0.8350	1.0000	
212.3745	1.0000	0.8597	1.0000	
214.2343	1.0000	0.7665	1.0000	
216.0008	1.0000	0.9432	1.0000	
217.9439	1.0000	0.7032	1.0000	
219.6472	2.0000	1.0954	1.0000	
221.7426	1.0000	1.2351	1.0000	
223.9777	1.0000	1.1442	1.0000	
226.1219	1.0000	1.8479	1.0000	
228.9698	1.0000	1.3518	1.0000	
231.3216	1.0000	1.7069	1.0000	
234.0286	1.0000	0.9834	1.0000	
236.0119	1.0000	2.0000	1.0000	
239.0119	2.0000	0.7056	1.0000	
240.7175	1.0000	1.1267	1.0000	
242.8442	1.0000	0.8244	1.0000	
244.6686	2.0000	0.8653	1.0000	
246.5340	1.0000	0.8557	1.0000	
248.3897	1.0000	0.7599	1.0000	
250.1495	1.0000	1.0605	1.0000	
252.2100	2.0000	0.9935	1.0000	
254.2035	1.0000	0.8846	1.0000	
256.0881	1.0000	1.0002	1.0000	
258.0884	1.0000	1.2663	1.0000	
260.3547	1.0000	0.8302	1.0000	
262.1849	1.0000	0.8350	1.0000	
264.0199	2.0000	0.9457	1.0000	
265.9656	1.0000	0.9071	1.0000	
267.8727	1.0000	0.7302	1.0000	
269.6029	1.0000	0.8614	1.0000	
271.4644	1.0000	0.7720	1.0000	
273.2364	2.0000	1.1304	1.0000	
275.3668	1.0000	1.1223	1.0000	
277.4891	1.0000	1.1516	1.0000	
279.6408	1.0000	1.1448	1.0000	
281.7856	2.0000	0.9194	1.0000	
283.7050	1.0000	0.9795	1.0000	
285.6844	1.0000	0.7599	1.0000	
287.4443	1.0000	0.9563	1.0000	
289.4006	1.0000	1.2418	1.0000	
291.6424	1.0000	0.7302	1.0000	
293.3726	1.0000	1.2540	1.0000	
295.6266	1.0000	1.9327	1.0000	
298.5593	1.0000	0.9935	1.0000	
300.5528	1.0000	0.8409	1.0000	
302.3936	1.0000	0.7701	1.0000	
304.1637	2.0000	1.5979	1.0000	
306.7616	1.0000	0.7980	1.0000	
308.5595	1.0000	0.7745	1.0000	
310.3341	1.0000	0.7746	1.0000	
312.1087	1.0000	1.1223	1.0000	
314.2310	1.0000	0.7228	1.0000	
315.9539	1.0000	2.0000	1.0000	
318.9539	1.0000	0.9194	1.0000	
320.8732	1.0000	2.0000	1.0000	
323.8732	1.0000	0.8298	1.0000	
325.7031	1.0000	1.2099	1.0000	
327.9129	1.0000	0.7376	1.0000	
329.6505	1.0000	0.9174	1.0000	
331.5679	1.0000	1.0020	1.0000	
333.5700	1.0000	2.0000	1.0000	
336.5700	1.0000	1.7938	1.0000	
339.3638	1.0000	0.9898	1.0000	
341.3535	1.0000	1.2247	1.0000	
343.5782	1.0000	1.2890	1.0000	
345.8672	1.0000	0.7041	1.0000	
347.5713	1.0000	1.0759	1.0000	
349.6472	1.0000	0.7325	1.0000	
351.3797	1.0000	1.3815	1.0000	
353.7612	1.0000	0.9732	1.0000	
355.7344	2.0000	0.7665	1.0000	
357.5009	1.0000	0.9484	1.0000	
359.4493	1.0000	0.9887	1.0000	
361.4379	1.0000	0.8458	1.0000	
363.2837	2.0000	1.1594	1.0000	
365.4431	1.0000	1.1594	1.0000	
367.6025	1.0000	1.6913	1.0000	
370.2937	2.0000	1.3546	1.0000	
372.6483	1.0000	0.8646	1.0000	
374.5129	1.0000	0.8740	1.0000	
376.3869	2.0000	2.0000	1.0000	
379.3869	1.0000	2.0000	1.0000	

